Disk Folder Name,Disk Relative Path,Size (MB),Reconciliation Status,Match Tier,Canonical Title,Canonical Author,Canonical ASIN,Canonical Series
Orson Scott Card - Eye for Eye,_Uncataloged\Orson Scott Card - Eye for Eye,67.72,PROMOTABLE_TO_CANONICAL,Tier 2: Leaf Folder Match,Eye For Eye <Unabr Short Story,Orson Scott Card,,Orson Scott Card Audiobook Collection @ Fenopy.com
Orson Scott Card - Stone Tables,_Uncataloged\Orson Scott Card - Stone Tables,352.61,PROMOTABLE_TO_CANONICAL,Tier 2: Leaf Folder Match,Stone Tables,Orson Scott Card,B07G2MJML4,Orson Scott Card Audiobook Collection @ Fenopy.com
Orson Scott Card - WOG - Rebekah,_Uncataloged\Orson Scott Card - WOG - Rebekah,153.16,PROMOTABLE_TO_CANONICAL,Tier 2: Leaf Folder Match,Women oif Genesis Vol 2 - Rebekah,Orson Scott Card,,Orson Scott Card Audiobook Collection @ Fenopy.com
Orson Scott Card - Maps in a Mirror,_Uncataloged\Orson Scott Card - Maps in a Mirror,73.59,PROMOTABLE_TO_CANONICAL,Tier 2: Leaf Folder Match,Cruel Miracles,Orson Scott Card,B0036GRFAI,Maps in a Mirror #4
dorian_gray_librivox_64kb_mp3,_Uncataloged\dorian_gray_librivox_64kb_mp3,170.74,PROMOTABLE_TO_CANONICAL,Tier 2: Leaf Folder Match,The Uncensored Picture of Dorian Gray,"Oscar Wilde, Nicholas Frankel - editor",1666126063,dorian_gray_librivox_64kb_mp3
The Subtle Knife,_Uncataloged\The Subtle Knife,254.04,PROMOTABLE_TO_CANONICAL,Tier 2: Leaf Folder Match,His Dark Materials: The Subtle Knife (Book 2),Philip Pullman,B002UZHP1U,His Dark Materials #2
Dragonslayer's Retur_B003TTYH1C_LC_64_22050_Stereo.m4b,_Uncataloged\Dragonslayer's Retur_B003TTYH1C_LC_64_22050_Stereo.m4b,162.02,PROMOTABLE_TO_CANONICAL,Tier 2: Leaf Folder Match,Dragonslayer's Return,R. A. Salvatore,B003TU3Q9A,Spearwielder's Tales #3
Echoes of the Fourth_B003BKT20A_LC_64_22050_Stereo.m4b,_Uncataloged\Echoes of the Fourth_B003BKT20A_LC_64_22050_Stereo.m4b,154.95,PROMOTABLE_TO_CANONICAL,Tier 2: Leaf Folder Match,Echoes of the Fourth Magic,R. A. Salvatore,B003BKQZ28,Chronicles of Ynis Aielle #1
"[01, Dramatized Adaptation] The Highwayman","_Uncataloged\[01, Dramatized Adaptation] The Highwayman",446.87,PROMOTABLE_TO_CANONICAL,Tier 2: Leaf Folder Match,The Highwayman [Dramatized Adaptation],R. A. Salvatore,1648802362,Saga of the First King #1
"[02, Dramatized Adaptation] The Ancient","_Uncataloged\[02, Dramatized Adaptation] The Ancient",445.13,PROMOTABLE_TO_CANONICAL,Tier 2: Leaf Folder Match,The Ancient [Dramatized Adaptation],R. A. Salvatore,1648809936,Saga of the First King #2
