Disk Folder Name,Disk Relative Path,Size (MB),Reconciliation Status,Match Tier,Canonical Title,Canonical Author,Canonical ASIN,Canonical Series
Anne Rice,Anne Rice\Anne Rice\Anne Rice\Anne Rice,415.17,VERIFIED_CANONICAL,Tier 2: Leaf Folder Match,"Lestat, el vampiro (Crónicas Vampíricas 2)","Anne Rice, Hernán Sabaté Vargas - translator",B0BR64KJX6,Crónicas Vampíricas #2
Memnoch the Devil [B00IZJYV6M],Anne Rice\The Vampire Chronicles #5\Memnoch the Devil [B00IZJYV6M],605.5,VERIFIED_CANONICAL,Tier 1: ASIN Match,Memnoch the Devil,Anne Rice,B00IZJYV6M,The Vampire Chronicles #5
Interview with the Vampire [B0051JGU1S],Anne Rice\The Vampire Chronicles #1\Interview with the Vampire [B0051JGU1S],617.59,VERIFIED_CANONICAL,Tier 1: ASIN Match,Interview with the Vampire,Anne Rice,B0051JGU1S,The Vampire Chronicles #1
Merrick [B002UUKMKQ],"Anne Rice\The Vampire Chronicles #7, Lives of the Mayfair Witches #4\Merrick [B002UUKMKQ]",482.69,VERIFIED_CANONICAL,Tier 1: ASIN Match,Merrick,Anne Rice,B002UUKMKQ,"The Vampire Chronicles #7, Lives of the Mayfair Witches #4"
The Vampire Armand - The Vampire Chronicles [B002UZMU7O],Anne Rice\The Vampire Chronicles #6\The Vampire Armand - The Vampire Chronicles [B002UZMU7O],633.59,VERIFIED_CANONICAL,Tier 1: ASIN Match,The Vampire Armand,Anne Rice,B002UZMU7O,The Vampire Chronicles #6
"The Tale of the Body Thief - The Vampire Chronicles, Book 4 [B011DDW4S8]","Anne Rice\The Vampire Chronicles #4\The Tale of the Body Thief - The Vampire Chronicles, Book 4 [B011DDW4S8]",797.52,VERIFIED_CANONICAL,Tier 1: ASIN Match,The Tale of the Body Thief,Anne Rice,B011DDW4S8,The Vampire Chronicles #4
Blood and Gold [B002UZZ6ZW],Anne Rice\The Vampire Chronicles #8\Blood and Gold [B002UZZ6ZW],776.02,VERIFIED_CANONICAL,Tier 1: ASIN Match,Blood and Gold,Anne Rice,B002UZZ6ZW,The Vampire Chronicles #8
Blood Canticle - The Vampire Chronicles [B002UUKU2Q],"Anne Rice\The Vampire Chronicles #10, Lives of the Mayfair Witches #6\Blood Canticle - The Vampire Chronicles [B002UUKU2Q]",481.41,VERIFIED_CANONICAL,Tier 1: ASIN Match,Blood Canticle,Anne Rice,B002UUKU2Q,"The Vampire Chronicles #10, Lives of the Mayfair Witches #6"
"The Queen of the Damned - The Vampire Chronicles, Book 3 [B0052FRV1Y]","Anne Rice\The Vampire Chronicles #3\The Queen of the Damned - The Vampire Chronicles, Book 3 [B0052FRV1Y]",919.11,VERIFIED_CANONICAL,Tier 1: ASIN Match,The Queen of the Damned,Anne Rice,B0052FRV1Y,The Vampire Chronicles #3
"Sufficiently Advanced Magic - Arcane Ascension, Book 1 [B072YT93QD]","Andrew Rowe\Arcane Ascension #1\Sufficiently Advanced Magic - Arcane Ascension, Book 1 [B072YT93QD]",663.18,VERIFIED_CANONICAL,Tier 1: ASIN Match,Sufficiently Advanced Magic,Andrew Rowe,B072YT93QD,Arcane Ascension #1
"Black Gun, Silver Star The Life and Legend of Frontier Marshal Bass Reeves - Race and Ethnicity in the American West Series #1 [B014V5RKPM]","Art T. Burton\Black Gun, Silver Star\Black Gun, Silver Star The Life and Legend of Frontier Marshal Bass Reeves - Race and Ethnicity in the American West Series #1 [B014V5RKPM]",377.82,VERIFIED_CANONICAL,Tier 1: ASIN Match,"Black Gun, Silver Star: The Life and Legend of Frontier Marshal Bass Reeves",Art T. Burton,B014V5RKPM,"Black Gun, Silver Star"
Mostly Harmless [B002V5H3AW],Douglas Adams\Hitchhiker's Guide to the Galaxy #5\Mostly Harmless [B002V5H3AW],314.9,VERIFIED_CANONICAL,Tier 1: ASIN Match,Mostly Harmless,Douglas Adams,B002V5H3AW,Hitchhiker's Guide to the Galaxy #5
Douglas Adams at the BBC Disc 3,Douglas Adams\Douglas Adams at the BBC\Douglas Adams at the BBC Disc 3,139.82,VERIFIED_CANONICAL,Tier 2: Leaf Folder Match,Douglas Adams at the BBC Disc 3,Douglas Adams,,Douglas Adams at the BBC
Douglas Adams at the BBC Disc 3,Douglas Adams\Douglas Adams at the BBC\Douglas Adams at the BBC [B002V5BPX8]\Douglas Adams at the BBC Disc 3,139.82,VERIFIED_CANONICAL,Tier 2: Leaf Folder Match,Douglas Adams at the BBC Disc 3,Douglas Adams,,Douglas Adams at the BBC
Douglas Adams at the BBC Disk 1,Douglas Adams\Douglas Adams at the BBC\Douglas Adams at the BBC [B002V5BPX8]\Douglas Adams at the BBC Disk 1,138.7,VERIFIED_CANONICAL,Tier 2: Leaf Folder Match,Douglas Adams at the BBC,Douglas Adams,B002V5BPX8,Douglas Adams at the BBC
Douglas Adams at the BBC Disc 2,Douglas Adams\Douglas Adams at the BBC\Douglas Adams at the BBC [B002V5BPX8]\Douglas Adams at the BBC Disc 2,138.22,VERIFIED_CANONICAL,Tier 2: Leaf Folder Match,Douglas Adams at the BBC Disc 2,Douglas Adams,,Douglas Adams at the BBC
"Blue Moon - Jack Reacher, Book 24 [1524774367]","Lee Child\Jack Reacher #24\Blue Moon - Jack Reacher, Book 24 [1524774367]",612.79,VERIFIED_CANONICAL,Tier 1: ASIN Match,Blue Moon,Lee Child,1524774367,Jack Reacher #24
"Killing Floor - Jack Reacher, Book 1 [B015RQON6I]","Lee Child\Jack Reacher #1\Killing Floor - Jack Reacher, Book 1 [B015RQON6I]",427.23,VERIFIED_CANONICAL,Tier 1: ASIN Match,Killing Floor,Lee Child,B015RQON6I,Jack Reacher #1
15.5 Second Son,Lee Child\Jack Reacher\15.5 Second Son,34.01,VERIFIED_CANONICAL,Tier 2: Leaf Folder Match,15.5 Second Son,Lee Child,,Jack Reacher
16.5 Deep Down,Lee Child\Jack Reacher\16.5 Deep Down,36.17,VERIFIED_CANONICAL,Tier 2: Leaf Folder Match,16.5 Deep Down,Lee Child,,Jack Reacher
17.5 High Heat,Lee Child\Jack Reacher\17.5 High Heat,54.41,VERIFIED_CANONICAL,Tier 2: Leaf Folder Match,17.5 High Heat,Lee Child,,Jack Reacher
18.5 Not a Drill,Lee Child\Jack Reacher\18.5 Not a Drill,33.56,VERIFIED_CANONICAL,Tier 2: Leaf Folder Match,18.5 Not a Drill,Lee Child,,Jack Reacher
19.5 Small Wars,Lee Child\Jack Reacher\19.5 Small Wars,35.17,VERIFIED_CANONICAL,Tier 2: Leaf Folder Match,19.5 Small Wars,Lee Child,,Jack Reacher
22.5 The Christmas Scorpion,Lee Child\Jack Reacher\22.5 The Christmas Scorpion,15.74,VERIFIED_CANONICAL,Tier 2: Leaf Folder Match,22.5 The Christmas Scorpion,Lee Child,,Jack Reacher
23.5 The Fourth Man,Lee Child\Jack Reacher\23.5 The Fourth Man,16.43,VERIFIED_CANONICAL,Tier 2: Leaf Folder Match,23.5 The Fourth Man,Lee Child,,Jack Reacher
12.5 James Penney’s New Identity - Guy Walks into a Bar,Lee Child\Jack Reacher\12.5 James Penney’s New Identity - Guy Walks into a Bar,39.12,VERIFIED_CANONICAL,Tier 2: Leaf Folder Match,12.5 James Penney’s New Identity - Guy Walks into a Bar,Lee Child,,Jack Reacher
21.5 No Middle Name,Lee Child\Jack Reacher\21.5 No Middle Name,308.62,VERIFIED_CANONICAL,Tier 2: Leaf Folder Match,21.5 No Middle Name,Lee Child,,Jack Reacher
"The Hard Way - Jack Reacher, Book 10 [B00LI7VIRS]","Lee Child\Jack Reacher #10\The Hard Way - Jack Reacher, Book 10 [B00LI7VIRS]",323.8,VERIFIED_CANONICAL,Tier 1: ASIN Match,The Hard Way,Lee Child,B00LI7VIRS,Jack Reacher #10
"Without Fail - Jack Reacher, Book 6 [B016J85CWW]","Lee Child\Jack Reacher #6\Without Fail - Jack Reacher, Book 6 [B016J85CWW]",381.79,VERIFIED_CANONICAL,Tier 1: ASIN Match,Without Fail,Lee Child,B016J85CWW,Jack Reacher #6
"The Midnight Line - Jack Reacher, Book 22 [B071D1Q7ZT]","Lee Child\Jack Reacher #22\The Midnight Line - Jack Reacher, Book 22 [B071D1Q7ZT]",307.97,VERIFIED_CANONICAL,Tier 1: ASIN Match,The Midnight Line,Lee Child,B071D1Q7ZT,Jack Reacher #22
"Past Tense - Jack Reacher, Book 23 [B07DK1BBS6]","Lee Child\Jack Reacher #23\Past Tense - Jack Reacher, Book 23 [B07DK1BBS6]",340.15,VERIFIED_CANONICAL,Tier 1: ASIN Match,Past Tense,Lee Child,B07DK1BBS6,Jack Reacher #23
"The Affair - Jack Reacher, Book 16 [B005MS3H6Y]","Lee Child\Jack Reacher #16\The Affair - Jack Reacher, Book 16 [B005MS3H6Y]",335.16,VERIFIED_CANONICAL,Tier 1: ASIN Match,The Affair,Lee Child,B005MS3H6Y,Jack Reacher #16
"Tripwire - Jack Reacher, Book 3 [B009WU6R8I]","Lee Child\Jack Reacher #3\Tripwire - Jack Reacher, Book 3 [B009WU6R8I]",430.54,VERIFIED_CANONICAL,Tier 1: ASIN Match,Tripwire,Lee Child,B009WU6R8I,Jack Reacher #3
The Enemy [0593339126],Lee Child\Jack Reacher #8\The Enemy [0593339126],391.35,VERIFIED_CANONICAL,Tier 1: ASIN Match,The Enemy,Lee Child,0593339126,Jack Reacher #8
"Never Go Back - Jack Reacher, Book 18 [B00E7ZBDLY]","Lee Child\Jack Reacher #18\Never Go Back - Jack Reacher, Book 18 [B00E7ZBDLY]",320.67,VERIFIED_CANONICAL,Tier 1: ASIN Match,Never Go Back,Lee Child,B00E7ZBDLY,Jack Reacher #18
"Bad Luck and Trouble - Jack Reacher, Book 11 [B002V5GR5Y]","Lee Child\Jack Reacher #11\Bad Luck and Trouble - Jack Reacher, Book 11 [B002V5GR5Y]",346.05,VERIFIED_CANONICAL,Tier 1: ASIN Match,Bad Luck and Trouble,Lee Child,B002V5GR5Y,Jack Reacher #11
"Make Me - Jack Reacher, Book 20 [B011PVUGUG]","Lee Child\Jack Reacher #20\Make Me - Jack Reacher, Book 20 [B011PVUGUG]",319.41,VERIFIED_CANONICAL,Tier 1: ASIN Match,Make Me,Lee Child,B011PVUGUG,Jack Reacher #20
"Worth Dying For - Jack Reacher, Book 15 [B0045VT4NY]","Lee Child\Jack Reacher #15\Worth Dying For - Jack Reacher, Book 15 [B0045VT4NY]",355.71,VERIFIED_CANONICAL,Tier 1: ASIN Match,Worth Dying For,Lee Child,B0045VT4NY,Jack Reacher #15
"Gone Tomorrow - Jack Reacher, Book 13 [B002V8KTJQ]","Lee Child\Jack Reacher #13\Gone Tomorrow - Jack Reacher, Book 13 [B002V8KTJQ]",363.01,VERIFIED_CANONICAL,Tier 1: ASIN Match,Gone Tomorrow,Lee Child,B002V8KTJQ,Jack Reacher #13
A Wanted Man - A Jack Reacher Novel [B0090Q9BM8],Lee Child\Jack Reacher #17\A Wanted Man - A Jack Reacher Novel [B0090Q9BM8],322.19,VERIFIED_CANONICAL,Tier 1: ASIN Match,A Wanted Man,Lee Child,B0090Q9BM8,Jack Reacher #17
"One Shot - Jack Reacher, Book 9 [B00LI9GZTM]","Lee Child\Jack Reacher #9\One Shot - Jack Reacher, Book 9 [B00LI9GZTM]",350.95,VERIFIED_CANONICAL,Tier 1: ASIN Match,One Shot,Lee Child,B00LI9GZTM,Jack Reacher #9
"Echo Burning - Jack Reacher, Book 5 [B0160FSUW8]","Lee Child\Jack Reacher #5\Echo Burning - Jack Reacher, Book 5 [B0160FSUW8]",381.71,VERIFIED_CANONICAL,Tier 1: ASIN Match,Echo Burning,Lee Child,B0160FSUW8,Jack Reacher #5
"Die Trying - Jack Reacher, Book 2 [B009WROSXW]","Lee Child\Jack Reacher #2\Die Trying - Jack Reacher, Book 2 [B009WROSXW]",434.75,VERIFIED_CANONICAL,Tier 1: ASIN Match,Die Trying,Lee Child,B009WROSXW,Jack Reacher #2
"Nothing to Lose - Jack Reacher, Book 12 [B002V5H4NI]","Lee Child\Jack Reacher #12\Nothing to Lose - Jack Reacher, Book 12 [B002V5H4NI]",367.36,VERIFIED_CANONICAL,Tier 1: ASIN Match,Nothing to Lose,Lee Child,B002V5H4NI,Jack Reacher #12
Personal - Le avventure di Jack Reacher 19 [B09T73W9JR],Lee Child\Le avventure di Jack Reacher #19\Personal - Le avventure di Jack Reacher 19 [B09T73W9JR],304.76,VERIFIED_CANONICAL,Tier 1: ASIN Match,Personal,Lee Child,B09T73W9JR,Le avventure di Jack Reacher #19
"61 Hours - Jack Reacher, Book 14 [B003G8RX9O]","Lee Child\Jack Reacher #14\61 Hours - Jack Reacher, Book 14 [B003G8RX9O]",336.72,VERIFIED_CANONICAL,Tier 1: ASIN Match,61 Hours,Lee Child,B003G8RX9O,Jack Reacher #14
Persuader - A Jack Reacher Novel [0593339096],Lee Child\Jack Reacher #7\Persuader - A Jack Reacher Novel [0593339096],389.62,VERIFIED_CANONICAL,Tier 1: ASIN Match,Persuader,Lee Child,0593339096,Jack Reacher #7
Night School [B01JKE3C24],Lee Child\Jack Reacher #21\Night School [B01JKE3C24],306.08,VERIFIED_CANONICAL,Tier 1: ASIN Match,Night School,Lee Child,B01JKE3C24,Jack Reacher #21
F03 Second Foundation,Isaac Asimov\Isaac Asimov\F03 Second Foundation,181.03,VERIFIED_CANONICAL,Tier 2: Leaf Folder Match,F03 Second Foundation,Isaac Asimov,,Isaac Asimov_dup_4263
Foward the Foundation,Isaac Asimov\Isaac Asimov\Foward the Foundation,366.45,VERIFIED_CANONICAL,Tier 3: Title Match,Foward the Foundation,Isaac Asimov,,Isaac Asimov_dup_4263
Realm of Numbers,Isaac Asimov\Isaac Asimov\Realm of Numbers,155.82,VERIFIED_CANONICAL,Tier 3: Title Match,Realm of Numbers,Isaac Asimov,,Isaac Asimov_dup_4263
Nemesis - A Novel [0593152778],Isaac Asimov\Isaac Asimov\Nemesis - A Novel [0593152778],343.09,VERIFIED_CANONICAL,Tier 1: ASIN Match,Nemesis,Isaac Asimov,0593152778,Isaac Asimov_dup_4263
Opus 200,Isaac Asimov\Isaac Asimov\Opus 200,304.06,VERIFIED_CANONICAL,Tier 2: Leaf Folder Match,Opus 200,Isaac Asimov,,Isaac Asimov_dup_4263
Our Angry Earth,Isaac Asimov\Isaac Asimov\Our Angry Earth,326.9,VERIFIED_CANONICAL,Tier 2: Leaf Folder Match,Our Angry Earth,Isaac Asimov,,Isaac Asimov_dup_4263
The Return of the Black Widowers,Isaac Asimov\Isaac Asimov\The Return of the Black Widowers,289.38,VERIFIED_CANONICAL,Tier 2: Leaf Folder Match,The Return of the Black Widowers,Isaac Asimov,,Isaac Asimov_dup_4263
"The Robots of Dawn - The Robot Series, Book 3 [B00KTEH7WQ]","Isaac Asimov\Robots #3, R. Daneel Olivaw #3\The Robots of Dawn - The Robot Series, Book 3 [B00KTEH7WQ]",438.09,VERIFIED_CANONICAL,Tier 1: ASIN Match,The Robots of Dawn,Isaac Asimov,B00KTEH7WQ,"Robots #3, R. Daneel Olivaw #3"
Robot Visions [B01578WXQS],Isaac Asimov\Robots #0.5\Robot Visions [B01578WXQS],417.27,VERIFIED_CANONICAL,Tier 1: ASIN Match,Robot Visions,Isaac Asimov,B01578WXQS,Robots #0.5
"The Stars, Like Dust [0593346025]","Isaac Asimov\Galactic Empire #1\The Stars, Like Dust [0593346025]",198.79,VERIFIED_CANONICAL,Tier 1: ASIN Match,"The Stars, Like Dust",Isaac Asimov,0593346025,Galactic Empire #1
Forward the Foundation [B005WWT30E],Isaac Asimov\Foundation #2\Forward the Foundation [B005WWT30E],443.4,VERIFIED_CANONICAL,Tier 1: ASIN Match,Forward the Foundation,Isaac Asimov,B005WWT30E,Foundation #2
Foundation's Edge [B005WL4R7E],Isaac Asimov\Foundation #6\Foundation's Edge [B005WL4R7E],369.32,VERIFIED_CANONICAL,Tier 1: ASIN Match,Foundation's Edge,Isaac Asimov,B005WL4R7E,Foundation #6
"The Caves of Steel - Robot, Book 1 [B00KY3AP30]","Isaac Asimov\Robots #1\The Caves of Steel - Robot, Book 1 [B00KY3AP30]",225.13,VERIFIED_CANONICAL,Tier 1: ASIN Match,The Caves of Steel,Isaac Asimov,B00KY3AP30,Robots #1
Foundation and Empire [B003FCV4O6],Isaac Asimov\Foundation #4\Foundation and Empire [B003FCV4O6],228.72,VERIFIED_CANONICAL,Tier 1: ASIN Match,Foundation and Empire,Isaac Asimov,B003FCV4O6,Foundation #4
"The Currents of Space - Galactic Empire, Book 2 [0593346041]","Isaac Asimov\Galactic Empire #2\The Currents of Space - Galactic Empire, Book 2 [0593346041]",211.72,VERIFIED_CANONICAL,Tier 1: ASIN Match,The Currents of Space,Isaac Asimov,0593346041,Galactic Empire #2
"The Naked Sun - The Robot Series, Book 2 [B00KTEHMPI]","Isaac Asimov\Robots #2\The Naked Sun - The Robot Series, Book 2 [B00KTEHMPI]",177.78,VERIFIED_CANONICAL,Tier 1: ASIN Match,The Naked Sun,Isaac Asimov,B00KTEHMPI,Robots #2
Robot Dreams [B00NYCMZQS],Isaac Asimov\Robots #0.4\Robot Dreams [B00NYCMZQS],419.35,VERIFIED_CANONICAL,Tier 1: ASIN Match,Robot Dreams,Isaac Asimov,B00NYCMZQS,Robots #0.4
Prelude to Foundation [B005T6ZETM],Isaac Asimov\Foundation #1\Prelude to Foundation [B005T6ZETM],457.28,VERIFIED_CANONICAL,Tier 1: ASIN Match,Prelude to Foundation,Isaac Asimov,B005T6ZETM,Foundation #1
"I, Robot [B002V5BE1Q]","Isaac Asimov\Robots #0.1\I, Robot [B002V5BE1Q]",189.33,VERIFIED_CANONICAL,Tier 1: ASIN Match,"I, Robot",Isaac Asimov,B002V5BE1Q,Robots #0.1
Foundation and Earth [B005WWT7TQ],Isaac Asimov\Foundation #7\Foundation and Earth [B005WWT7TQ],511.97,VERIFIED_CANONICAL,Tier 1: ASIN Match,Foundation and Earth,Isaac Asimov,B005WWT7TQ,Foundation #7
Superman_Batman_Spiderman Audio productions,Multiple Authors\Multiple Authors\DC Comics\Superman_Batman_Spiderman Audio productions\Superman_Batman_Spiderman Audio productions\Superman_Batman_Spiderman Audio productions,40.87,VERIFIED_CANONICAL,Tier 2: Leaf Folder Match,Lazarus/Blues Project,The Blues Project,,Superman_Batman_Spiderman Audio productions
Triumph Of The Darksword,Margaret Weis & Tracy Hickman\Darksword Cycle #03\Triumph Of The Darksword,176.92,VERIFIED_CANONICAL,Tier 3: Title Match,Triumph Of The Darksword,Margaret Weis & Tracy Hickman,,Darksword Cycle #03
Legacy Of The Darksword,Margaret Weis & Tracy Hickman\Darksword Cycle #04\Legacy Of The Darksword,148.52,VERIFIED_CANONICAL,Tier 3: Title Match,Legacy Of The Darksword,Margaret Weis & Tracy Hickman,,Darksword Cycle #04
Non Fiction,Non Fiction\Non Fiction\Non Fiction,82.51,VERIFIED_CANONICAL,Tier 2: Leaf Folder Match,The No Asshole Rule,Robert I. Sutton PhD PhD,B002V5B4BG,Non Fiction
Stephen King (45 novels - 69),Stephen King\Stephen King\Stephen King (45 novels - 69)\Stephen King (45 novels - 69),1262.27,VERIFIED_CANONICAL,Tier 2: Leaf Folder Match,Blood And Smoke,Stephen King,B002UZKRK6,Stephen King (45 novels - 69)
Song of Susannah - The Dark Tower VI [B002V5CO3I],Stephen King\The Dark Tower #6\Song of Susannah - The Dark Tower VI [B002V5CO3I],375.91,VERIFIED_CANONICAL,Tier 1: ASIN Match,Song of Susannah,Stephen King,B002V5CO3I,The Dark Tower #6
Wolves of the Calla - Dark Tower V [B002UUMS76],Stephen King\The Dark Tower #5\Wolves of the Calla - Dark Tower V [B002UUMS76],712.68,VERIFIED_CANONICAL,Tier 1: ASIN Match,Wolves of the Calla,Stephen King,B002UUMS76,The Dark Tower #5
The Green Mile [B002UZKWLA],Stephen King\audio book the green mile\The Green Mile [B002UZKWLA],382.75,VERIFIED_CANONICAL,Tier 1: ASIN Match,The Green Mile,Stephen King,B002UZKWLA,audio book the green mile
Heroes - The Greek Myths Reimagined [1797204211],Stephen Fry\Mythos #2\Heroes - The Greek Myths Reimagined [1797204211],738.32,VERIFIED_CANONICAL,Tier 1: ASIN Match,Heroes,Stephen Fry,1797204211,Mythos #2
"The Extinction New Zealand Series Box Set The Rule of Three, The Fourth Phase, The Five Pillars - The Extinction New Zealand Series, Books 1-3 [1094189286]","Adrian J. Smith\The Extinction New Zealand Series #1\The Extinction New Zealand Series Box Set The Rule of Three, The Fourth Phase, The Five Pillars - The Extinction New Zealand Series, Books 1-3 [1094189286]",1039.93,VERIFIED_CANONICAL,Tier 1: ASIN Match,"The Extinction New Zealand Series Box Set: The Rule of Three, The Fourth Phase, The Five Pillars",Adrian J. Smith,1094189286,The Extinction New Zealand Series #1
"James Moriarty, Consulting Criminal [B071CGXYVJ]","Andy Weir\Andy Weir\James Moriarty, Consulting Criminal [B071CGXYVJ]",32.76,VERIFIED_CANONICAL,Tier 1: ASIN Match,"James Moriarty, Consulting Criminal",Andy Weir,B071CGXYVJ,Andy Weir
"The Masterharper of Pern - Dragonriders of Pern, Book 14 [B002V0PPGQ]","Anne McCaffrey\Pern Novels [publication order] #14, Pern Novels [chronological order] #13\The Masterharper of Pern - Dragonriders of Pern, Book 14 [B002V0PPGQ]",532.54,VERIFIED_CANONICAL,Tier 1: ASIN Match,The Masterharper of Pern,Anne McCaffrey,B002V0PPGQ,"Pern Novels [publication order] #14, Pern Novels [chronological order] #13"
"Dragonseye - Dragonriders of Pern, Book 13 [B002VA9XQ4]","Anne McCaffrey\Pern Novels [publication order] #13, Pern Novels [chronological order] #2\Dragonseye - Dragonriders of Pern, Book 13 [B002VA9XQ4]",425.92,VERIFIED_CANONICAL,Tier 1: ASIN Match,Dragonseye,Anne McCaffrey,B002VA9XQ4,"Pern Novels [publication order] #13, Pern Novels [chronological order] #2"
"Dragonflight - Dragonriders of Pern, Book 1 [B002V8KVEO]","Anne McCaffrey\Original Dragonriders of Pern #1, Pern Novels [publication order] #1\Dragonflight - Dragonriders of Pern, Book 1 [B002V8KVEO]",257.09,VERIFIED_CANONICAL,Tier 1: ASIN Match,Dragonflight,Anne McCaffrey,B002V8KVEO,"Original Dragonriders of Pern #1, Pern Novels [chronological order] #14"
"Dragonsinger - Harper Hall Trilogy, Volume 2 [B002V8KKPY]","Anne McCaffrey\Harper Hall of Pern #2, Pern Novels [publication order] #4\Dragonsinger - Harper Hall Trilogy, Volume 2 [B002V8KKPY]",274.59,VERIFIED_CANONICAL,Tier 1: ASIN Match,Dragonsinger,Anne McCaffrey,B002V8KKPY,"Harper Hall of Pern #2, Pern Novels [chronological order] #17"
"All the Weyrs of Pern - Dragonriders of Pern, Book 11 [B002V5CHNA]","Anne McCaffrey\Pern Novels [publication order] #11, Pern Novels [chronological order] #21\All the Weyrs of Pern - Dragonriders of Pern, Book 11 [B002V5CHNA]",517.66,VERIFIED_CANONICAL,Tier 1: ASIN Match,All the Weyrs of Pern,Anne McCaffrey,B002V5CHNA,"Pern Novels [publication order] #11, Pern Novels [chronological order] #21"
"Moreta - Dragonlady of Pern Dragonriders of Pern, Book 7 [B002V0KHV4]","Anne McCaffrey\Pern Novels [publication order] #7, Pern Novels [chronological order] #11\Moreta - Dragonlady of Pern Dragonriders of Pern, Book 7 [B002V0KHV4]",370.05,VERIFIED_CANONICAL,Tier 1: ASIN Match,Moreta,Anne McCaffrey,B002V0KHV4,"Pern Novels [publication order] #7, Pern Novels [chronological order] #11"
A Gift of Dragons [B002V8HLQ0],"Anne McCaffrey\Pern Novels [publication order], Pern Novels [chronological order]\A Gift of Dragons [B002V8HLQ0]",208.55,VERIFIED_CANONICAL,Tier 1: ASIN Match,A Gift of Dragons,Anne McCaffrey,B002V8HLQ0,"Pern Novels [publication order], Pern Novels [chronological order]"
The Chronicles of Pern - First Fall [B09PFHKVTM],"Anne McCaffrey\Pern Novels [publication order], Pern Novels [chronological order]\The Chronicles of Pern - First Fall [B09PFHKVTM]",345.18,VERIFIED_CANONICAL,Tier 1: ASIN Match,The Chronicles of Pern,Anne McCaffrey,B09PFHKVTM,"Pern Novels [publication order], Pern Novels [chronological order]"
"Dragonsdawn - Dragonriders of Pern, Book 9 [B002V0JVMA]","Anne McCaffrey\Pern Novels [publication order] #9, Pern Novels [chronological order] #1\Dragonsdawn - Dragonriders of Pern, Book 9 [B002V0JVMA]",390.36,VERIFIED_CANONICAL,Tier 1: ASIN Match,Dragonsdawn,Anne McCaffrey,B002V0JVMA,"Pern Novels [publication order] #9, Pern Novels [chronological order] #1"
"The Dolphins of Pern - Dragonriders of Pern, Book 12 [B002V1NFYY]","Anne McCaffrey\Pern Novels [publication order] #12, Pern Novels [chronological order] #22\The Dolphins of Pern - Dragonriders of Pern, Book 12 [B002V1NFYY]",375.67,VERIFIED_CANONICAL,Tier 1: ASIN Match,The Dolphins of Pern,Anne McCaffrey,B002V1NFYY,"Pern Novels [publication order] #12, Pern Novels [chronological order] #22"
"Dragonquest - Dragonriders of Pern, Book 2 [B002V1NGHK]","Anne McCaffrey\Original Dragonriders of Pern #2, Pern Novels [chronological order] #15\Dragonquest - Dragonriders of Pern, Book 2 [B002V1NGHK]",310.54,VERIFIED_CANONICAL,Tier 1: ASIN Match,Dragonquest,Anne McCaffrey,B002V1NGHK,"Original Dragonriders of Pern #2, Pern Novels [chronological order] #15"
"Dragondrums - Harper Hall Trilogy, Volume 3 [B002V9Z0GW]","Anne McCaffrey\Harper Hall of Pern #3, Pern Novels [publication order] #6\Dragondrums - Harper Hall Trilogy, Volume 3 [B002V9Z0GW]",244.54,VERIFIED_CANONICAL,Tier 1: ASIN Match,Dragondrums,Anne McCaffrey,B002V9Z0GW,"Harper Hall of Pern #3, Pern Novels [chronological order] #18"
"The Skies of Pern - Dragonriders of Pern, Book 15 [B002V1LCTE]","Anne McCaffrey\Pern Novels [publication order] #15, Pern Novels [chronological order] #23\The Skies of Pern - Dragonriders of Pern, Book 15 [B002V1LCTE]",584.28,VERIFIED_CANONICAL,Tier 1: ASIN Match,The Skies of Pern,Anne McCaffrey,B002V1LCTE,"Pern Novels [publication order] #15, Pern Novels [chronological order] #23"
"The Renegades of Pern - Dragonriders of Pern, Book 10 [B002V0PR2S]","Anne McCaffrey\Pern Novels [publication order] #10, Pern Novels [chronological order] #20\The Renegades of Pern - Dragonriders of Pern, Book 10 [B002V0PR2S]",335.36,VERIFIED_CANONICAL,Tier 1: ASIN Match,The Renegades of Pern,Anne McCaffrey,B002V0PR2S,"Pern Novels [publication order] #10, Pern Novels [chronological order] #20"
"The White Dragon - Dragonriders of Pern, Book 3 [B002V5BCXG]","Anne McCaffrey\Original Dragonriders of Pern #3, Pern Novels [publication order] #5\The White Dragon - Dragonriders of Pern, Book 3 [B002V5BCXG]",404.38,VERIFIED_CANONICAL,Tier 1: ASIN Match,The White Dragon,Anne McCaffrey,B002V5BCXG,"Original Dragonriders of Pern #3, Pern Novels [publication order] #5"
The Chronicles of Lumineia Omnibus [B00XAK8OGE],Ben Hale\The Chronicles of Lumineia #1\The Chronicles of Lumineia Omnibus [B00XAK8OGE],960.42,VERIFIED_CANONICAL,Tier 1: ASIN Match,The Chronicles of Lumineia Omnibus,Ben Hale,B00XAK8OGE,The Chronicles of Lumineia #1
"Lords of the North - The Saxon Chronicles, Book 3 [B002V5GS2Q]","Bernard Cornwell\The Last Kingdom Series #3\Lords of the North - The Saxon Chronicles, Book 3 [B002V5GS2Q]",361.3,VERIFIED_CANONICAL,Tier 1: ASIN Match,Lords of the North,Bernard Cornwell,B002V5GS2Q,The Last Kingdom Series #3
