TargetFolder,Reason
G:\My Drive\pcloud\Drive G\Audio Books\Audible\Converted\Not On Phone\Zogarth,Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\FORGOTTEN REALMS\06 The Halfling's Gem,Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\Audible\Converted\Stephen R. Donaldson,Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\Audible\Converted\On Phone\Alpha LitRPG,Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\FORGOTTEN REALMS\28 Night Of The Hunter,Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\Audible\Converted\On Phone\Donald Sobol,Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\Audible\Converted\Not On Phone\John Lutz,Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\FORGOTTEN REALMS\14 Servant Of The Shard,Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\Audible\Converted\On Phone\Matt Dinniman,Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\Audible\Converted\Not On Phone\Seth Ring,Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\Audible\Converted\Not On Phone\SunriseCV,Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\Audible\Converted\On Phone\R.A. Salvatore,Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\Audible\Converted\On Phone\Dave Grohl (2),Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\Audible\Converted\Not On Phone\Tom Elliot,Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\FORGOTTEN REALMS\16 Road Of The Patriarch,Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\Marvel audio books\Marvel’ Doctor Strange,Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\Audible\Converted\On Phone\Patrick O'Brian,Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\Audible\Converted\Not On Phone\Bobby Adair,Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\Audible\Converted\On Phone\R. A. Salvatore,Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\Audible\Converted\TheFirstDefier; JF Brink,Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\Marvel audio books\Ant-Man - Natural Enemy,Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\Marvel audio books\Thanos - Death Sentence,Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\Audible\Converted\Not On Phone\Matt Larkin,Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\Audible\Converted\On Phone\Vasily Mahanenko,Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\Marvel audio books\Venom [Lethal Protector],Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\Audible\Converted\Not On Phone\Dakota Krout,Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\Audible\Converted\Not On Phone\Donald Sobol,Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\Audible\Converted\Not On Phone\Jeff Pearlman,Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\Audible\Converted\On Phone\Christopher Moore,Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\Audible\Converted\On Phone\Matt Dinniman (2),Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\Marvel audio books\Fantastic Four [War Zone],Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\Audible\Converted\Not On Phone\David A. Wells,Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\FORGOTTEN REALMS\15 Promise Of The Witch King,Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\Audible\Converted\Not On Phone\Emily McIntire,Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\Audible\Converted\On Phone\R.A. Salvatore (2),Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\Audible\Converted\Lucasfilm Press; George Mann,Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\Audible\Converted\On Phone\Patrick O'Brian (2),Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\Audible\Converted\Not On Phone\Jaleigh Johnson,Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\Audible\Converted\On Phone\R. A. Salvatore (2),Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\Audible\Converted\Not On Phone\Jonathan Renshaw,Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\Audible\Converted\On Phone\Vasily Mahanenko (2),Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\Marvel audio books\Captain America Dark Designs,Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\FORGOTTEN REALMS\30 Vengeance Of The Iron Dwarf,Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\Audible\Converted\On Phone\Christopher Moore (2),Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\Neil Degrasse Tyson\Accessory to War (Audiobook),Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\Marvel audio books\Marvel's - Avengers Vs. X-men,Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\Marvel audio books\Captain Marvel [Liberation Run],Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\Audible\Converted\On Phone\TheFirstDefier; JF Brink,Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\Marvel audio books\Spider-man_kraven's_last_hunt_lo,Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\Marvel audio books\Marvel - New Avengers - Breakout,Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\Audible\Converted\On Phone\Finished\James Islington,Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\Marvel audio books\Marvel - guardians of the galaxy,Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\Marvel audio books\Marvel Spider-Man Forever Young -,Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\Marvel audio books\Marvel -Spiderman - Lizard Sanction,Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\Audible\Converted\On Phone\Finished\James Islington (2),Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\Audible\Converted\Not On Phone\Drew Hayes\Super Powereds,Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\Marvel audio books\Marvel - The Ultimates - Tomorrow Men,Reason: Empty Shell
